"dist","scenario","n","rep","scheme","i","j","entry","ref","num","err","err_type"
"geometric","p_pequena",10000,1,"A",1,1,"J_u[1,1]",9901.20012211665,9901.19571985546,4.44618948516964e-07,"rel"
"geometric","p_pequena",10000,1,"B",1,1,"J_u[1,1]",9901.20012211665,9899.66804661357,0.000154736343491817,"rel"
"geometric","p_pequena",10000,1,"C_richardson",1,1,"J_u[1,1]",9901.20012211665,9901.18032354317,1.99961350531976e-06,"rel"
"geometric","p_pequena",10000,2,"A",1,1,"J_u[1,1]",9900.92898887135,9900.92719390124,1.81293100490961e-07,"rel"
"geometric","p_pequena",10000,2,"B",1,1,"J_u[1,1]",9900.92898887135,9900.19306100872,7.43291728950504e-05,"rel"
"geometric","p_pequena",10000,2,"C_richardson",1,1,"J_u[1,1]",9900.92898887135,9900.93327385331,4.32785848448627e-07,"rel"
"geometric","p_pequena",10000,3,"A",1,1,"J_u[1,1]",9900.0430814319,9900.04171211953,1.38313779200886e-07,"rel"
"geometric","p_pequena",10000,3,"B",1,1,"J_u[1,1]",9900.0430814319,9899.04239538998,0.000101078958313217,"rel"
"geometric","p_pequena",10000,3,"C_richardson",1,1,"J_u[1,1]",9900.0430814319,9900.01424516355,2.91274170348155e-06,"rel"
"geometric","p_grande",100,1,"A",1,1,"J_u[1,1]",7.40740740740742,7.4074069220135,6.55281788031202e-08,"rel"
"geometric","p_grande",100,1,"B",1,1,"J_u[1,1]",7.40740740740742,7.4069425614291,6.2754207073361e-05,"rel"
"geometric","p_grande",100,1,"C_richardson",1,1,"J_u[1,1]",7.40740740740742,7.40740213817306,7.11346638233578e-07,"rel"
"geometric","p_grande",100,2,"A",1,1,"J_u[1,1]",5.66037735849058,5.66037849522309,2.00822743572359e-07,"rel"
"geometric","p_grande",100,2,"B",1,1,"J_u[1,1]",5.66037735849058,5.66139497034586,0.000179778094433003,"rel"
